color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
,Brandon Landers,,143,8,8,Alana Kaniewski,720,,Drama|Horror|Thriller,Robbie Barnes,The Ridges ,125,770,Brandon Landers,0,avatar|college|death|tron|university,http://www.imdb.com/title/tt1781935/?ref_=fn_tt_tt_1,8,English,USA,,17350,2011,19,3.0,,33
 Black and White,Ivan Kavanagh,12,83,18,0,Michael Parle,10,,Horror,Patrick O'Donnell,Tin Can Man ,57,15,Emma Eliza Regan,0,,http://www.imdb.com/title/tt1235811/?ref_=fn_tt_tt_1,1,English,Ireland,,10000,2007,5,6.7,1.33,105
 Black and White,Jim Chuchu,6,60,0,4,Olwenya Maina,147,,Drama,Paul Ogola,Stories of Our Lives ,70,170,Mugambi Nthiga,0,,http://www.imdb.com/title/tt3973612/?ref_=fn_tt_tt_1,1,Swahili,Kenya,,15000,2014,19,7.4,,45
 Black and White,Richard Linklater,61,100,0,0,Richard Linklater,5,1227508,Comedy|Drama,Tommy Pallotta,Slacker ,15103,5,Jean Caffeine,0,austin texas|moon|pap smear|texas|twenty something,http://www.imdb.com/title/tt0102943/?ref_=fn_tt_tt_1,80,English,USA,R,23000,1991,0,7.1,1.37,2000
 Black and White,Kevin Smith,136,102,0,216,Brian O'Halloran,898,3151130,Comedy,Jason Mewes,Clerks ,181749,2103,Jeff Anderson,4,clerk|friend|hockey|video|video store,http://www.imdb.com/title/tt0109445/?ref_=fn_tt_tt_1,615,English,USA,R,230000,1994,657,7.8,1.37,0
 Black and White,Andrew Bujalski,52,109,26,3,Kate Dollenmayer,26,,Comedy,Andrew Bujalski,Mutual Appreciation ,1578,38,Justin Rice,0,friendship|guitarist|mumblecore|musician|new york,http://www.imdb.com/title/tt0446747/?ref_=fn_tt_tt_1,23,English,USA,R,,2005,6,6.9,1.66,91
 Black and White,Andrew Leman,60,47,2,5,David Mersault,19,,Fantasy|Horror|Mystery|Thriller,Dan Novy,The Call of Cthulhu ,6261,43,Barry Lynch,0,1920s|cthulhu|dream|sailor|silent film,http://www.imdb.com/title/tt0478988/?ref_=fn_tt_tt_1,99,English,USA,,50000,2005,9,7.3,1.33,0
 Black and White,Joseph Green,95,70,2,6,Jason Evers,24,,Horror|Sci-Fi,Virginia Leith,The Brain That Wouldn't Die ,4752,52,Bruce Kerr,1,brain|fiance|laboratory|surgeon|surgery,http://www.imdb.com/title/tt0052646/?ref_=fn_tt_tt_1,152,English,USA,Approved,62000,1962,16,4.1,1.66,1000
 Black and White,Darren Aronofsky,138,84,0,194,Clint Mansell,1000,3216970,Drama|Mystery|Thriller,Mark Margolis,Pi ,142619,2065,Stanley B. Herman,0,mathematician|nature|numbers|pattern|using a metal detector on a beach,http://www.imdb.com/title/tt0138704/?ref_=fn_tt_tt_1,586,English,USA,R,60000,1998,512,7.5,1.66,24000
 Black and White,John Reinhardt,1,68,2,75,John Ireland,142,,Crime|Drama,Sheldon Leonard,Open Secret ,67,354,Arthur O'Connell,3,anti semitism|gangster,http://www.imdb.com/title/tt0040671/?ref_=fn_tt_tt_1,9,English,USA,Approved,,1948,86,7.1,1.37,10
